"","ID","centre","name","staffreduced","staffJDCOVID","staffJDRedeploy","staffGOCOVID","staffGORedeploy","staffConstCOVID","staffConstRedeploy","staffCNSCOVID","staffCNSRedeploy","staffJDred","staffGOred","staffCONred","staffCNSred","MDTchange","MDTvirual","MDTvirualF2F","MDTsuspend","MDTlessfreq","MDTlessattd","redperc","outpatientremote","theatrered","surgcasered","medoncred","clinoncred","radiored","pathred","pallcapred","gonvrred","mdtworkred","movepperlist","moveclinic","moveotheractivity","movenotyet","centralhub","minaccesssurg","newname"
"49",11550590138,"Centre","site-58","Yes",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,100,NA,NA,75,"Yes",TRUE,FALSE,FALSE,FALSE,FALSE,0,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40
"2",11613849531,"Unit","site-59","No",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,"Yes",FALSE,TRUE,FALSE,FALSE,FALSE,0,70,0,20,0,NA,0,0,0,70,25,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,41
"75",99,"Centre","site-60","Yes",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,100,NA,NA,25,"Yes",TRUE,TRUE,FALSE,FALSE,FALSE,NA,80,20,40,30,6,0,0,0,70,20,TRUE,FALSE,FALSE,NA,TRUE,TRUE,42
"70",11549827763,"Centre","site-61","Yes",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,20,NA,25,NA,"Yes",TRUE,FALSE,FALSE,FALSE,FALSE,0,70,25,10,0,0,10,0,0,45,50,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,43
"31",11555624402,"Unit","site-62","No",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,"Yes",FALSE,TRUE,FALSE,FALSE,TRUE,25,50,0,NA,50,0,0,0,0,40,50,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,44
"41",11551659343,"Unit","site-63","Yes",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,10,NA,0,20,"Yes",TRUE,FALSE,FALSE,FALSE,FALSE,0,25,90,90,NA,NA,0,0,NA,NA,0,FALSE,TRUE,TRUE,NA,TRUE,TRUE,45
"5",11596827447,"Centre","site-64","No",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,"Yes",FALSE,TRUE,FALSE,FALSE,TRUE,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46
"51",11550492110,"Unit","site-65","No",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,"Yes",FALSE,TRUE,FALSE,FALSE,FALSE,0,60,40,50,0,0,0,0,NA,40,0,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,47
"3",11597587163,"Centre","site-66","No",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,"Yes",FALSE,TRUE,FALSE,FALSE,FALSE,0,60,30,5,NA,NA,0,0,NA,25,10,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,48
"64",11549924888,"Centre","site-67","No",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,"Yes",TRUE,FALSE,FALSE,FALSE,FALSE,NA,95,65,100,0,0,NA,0,0,NA,0,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,49
"19",11593263972,"Unit","site-68","Yes",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,NA,NA,NA,NA,"Yes",FALSE,FALSE,FALSE,FALSE,FALSE,NA,90,NA,NA,NA,1,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,FALSE,50
"35",11553549581,"Unit","site-69","Yes",TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,40,NA,20,40,"Yes",TRUE,FALSE,FALSE,FALSE,FALSE,0,10,80,60,NA,NA,NA,0,NA,50,30,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,51
